carat,cut,color,clarity,x,y,z
1.23,3,4,3,6.86,6.79,4.24
1.21,3,4,4,6.8,6.74,4.23
1.2,2,5,3,6.77,6.7,4.24
1.24,4,6,3,6.79,6.74,4.27
1.03,2,2,4,6.62,6.67,3.92
0.35,2,4,7,4.65,4.6,2.74
0.41,2,1,4,4.75,4.8,2.95
1.21,2,5,7,6.8,6.83,4.27
1.53,2,1,2,7.44,7.49,4.55
1.5,2,3,5,7.33,7.36,4.56
0.42,2,5,6,4.83,4.79,3.0
0.41,4,0,4,4.72,4.79,2.96
2.01,1,0,3,7.85,7.98,5.11
0.34,2,3,1,4.47,4.51,2.75
1.02,3,2,4,6.41,6.39,3.97
0.32,3,5,4,4.4,4.38,2.75
2.2,3,3,3,8.44,8.36,5.08
0.7,1,4,2,5.66,5.59,3.59
1.11,2,1,2,6.62,6.63,4.13
1.02,4,2,3,6.38,6.31,4.02
0.72,2,2,4,5.77,5.81,3.53
0.53,2,3,7,5.17,5.22,3.23
0.74,2,4,6,5.76,5.79,3.61
1.28,4,4,3,7.03,7.13,4.26
0.29,4,3,4,4.22,4.25,2.63
0.39,2,2,7,4.7,4.72,2.92
1.04,3,5,4,6.59,6.52,4.04
1.3,4,6,5,7.02,7.07,4.34
0.32,2,1,5,4.36,4.42,2.71
1.58,3,3,4,7.46,7.43,4.62
0.3,2,1,7,4.33,4.39,2.66
0.4,2,4,1,4.68,4.7,2.94
2.38,3,6,5,8.52,8.49,5.32
1.59,2,5,3,7.56,7.51,4.64
1.01,4,4,5,6.37,6.45,3.97
1.01,3,2,2,6.53,6.61,3.96
0.9,4,3,2,6.11,6.16,3.89
2.01,1,5,5,8.14,8.19,4.89
0.41,2,1,4,4.72,4.76,2.97
1.01,1,1,3,6.32,6.36,4.04
1.06,4,3,5,6.5,6.57,4.03
1.86,4,4,3,7.82,7.85,4.88
1.51,3,0,5,7.43,7.33,4.44
1.07,4,4,3,6.57,6.47,4.03
1.0,1,1,2,6.34,6.31,4.03
0.31,2,1,5,4.41,4.37,2.7
1.21,4,4,5,6.74,6.78,4.25
1.29,4,5,4,6.98,7.03,4.28
0.33,2,4,5,4.46,4.42,2.76
1.22,3,3,4,6.91,6.89,4.23
0.42,3,3,5,4.77,4.81,2.97
0.43,2,2,4,4.84,4.85,3.0
0.63,3,2,5,5.53,5.5,3.39
0.56,2,1,2,5.31,5.26,3.32
1.52,4,0,2,7.37,7.4,4.58
0.25,2,2,5,4.01,4.05,2.53
0.3,2,3,4,4.32,4.3,2.66
0.57,1,2,2,5.26,5.31,3.34
0.32,2,2,2,4.41,4.45,2.73
0.39,3,3,4,4.69,4.65,2.88
1.25,3,3,4,7.03,6.92,4.23
2.0,3,5,3,8.13,8.09,4.97
0.23,4,1,4,3.88,3.9,2.44
0.72,3,3,2,5.79,5.76,3.54
0.42,4,3,2,4.79,4.82,2.96
1.62,4,4,2,7.38,7.51,4.7
0.52,2,2,5,5.19,5.37,3.2
0.31,2,3,6,4.39,4.42,2.71
2.52,4,3,3,8.65,8.61,5.45
0.31,4,1,7,4.38,4.43,2.68
0.3,2,4,2,4.3,4.33,2.68
0.31,3,4,5,4.39,4.35,2.73
0.9,4,4,7,6.22,6.25,3.76
0.91,4,1,2,6.1,6.19,3.84
0.32,2,5,5,4.4,4.37,2.76
0.7,2,4,7,5.71,5.76,3.57
0.31,2,4,6,4.32,4.35,2.68
0.97,2,2,2,6.37,6.32,3.92
0.72,2,0,2,5.76,5.79,3.55
0.23,2,2,7,3.99,4.03,2.42
0.7,0,4,4,5.68,5.56,3.65
0.4,3,5,6,4.71,4.67,2.94
1.3,3,4,2,6.95,6.88,4.35
0.71,3,2,4,5.84,5.81,3.44
0.34,2,1,4,4.44,4.47,2.78
0.5,1,3,4,5.3,5.24,3.03
0.7,0,4,2,5.53,5.59,3.64
1.01,0,2,5,6.49,6.4,3.94
0.4,2,2,1,4.75,4.81,2.96
0.3,2,1,6,4.33,4.35,2.67
0.57,2,3,5,5.38,5.4,3.29
1.1,1,5,2,6.82,6.77,3.92
0.4,3,0,2,4.75,4.71,2.9
1.0,1,4,3,6.31,6.38,4.0
0.73,4,5,6,5.75,5.79,3.57
0.4,3,0,3,4.74,4.68,2.9
1.3,3,0,2,6.93,6.83,4.28
1.15,3,0,2,6.83,6.76,4.15
1.01,4,3,5,6.34,6.37,3.97
1.75,2,3,5,7.72,7.65,4.81
0.93,2,3,2,6.22,6.26,3.87
0.8,2,2,4,5.99,5.95,3.68
1.22,1,4,3,6.84,6.77,4.32
0.36,3,5,5,4.54,4.58,2.86
1.23,2,1,3,7.01,6.92,4.26
0.5,2,1,5,5.13,5.16,3.16
1.06,2,5,6,6.62,6.66,4.0
0.9,4,5,2,6.1,6.05,3.86
1.02,2,1,3,6.35,6.44,4.01
1.05,3,1,1,6.7,6.66,3.94
0.7,0,3,5,5.55,5.54,3.6
0.5,3,2,6,5.15,5.13,3.14
1.51,3,5,5,7.42,7.36,4.43
0.43,2,3,6,4.85,4.87,2.99
0.72,2,3,3,5.76,5.71,3.54
1.01,4,0,3,6.34,6.44,4.01
0.74,3,3,4,5.79,5.81,3.58
0.32,4,5,2,4.34,4.39,2.74
0.57,2,3,7,5.36,5.34,3.25
0.32,1,4,6,4.33,4.28,2.77
1.31,2,6,2,6.95,7.04,4.37
0.3,3,5,4,4.29,4.26,2.69
2.19,1,5,3,8.23,8.19,5.23
0.52,0,6,5,5.05,5.0,3.28
1.02,0,4,5,6.32,6.24,4.06
0.48,3,2,5,5.12,5.1,3.07
0.51,2,0,5,5.21,5.17,3.19
1.02,4,3,5,6.53,6.49,3.94
0.6,2,2,2,5.38,5.41,3.32
0.45,3,3,6,4.92,4.98,3.01
1.0,4,0,3,6.33,6.3,4.01
0.38,4,2,3,4.7,4.75,2.84
0.41,3,0,2,4.82,4.85,2.88
0.7,2,0,4,5.64,5.68,3.54
0.67,2,3,5,5.64,5.56,3.5
1.54,0,2,2,7.22,7.18,4.74
0.49,0,1,7,4.91,4.86,3.2
0.4,2,2,5,4.73,4.68,2.99
0.71,1,2,2,5.62,5.55,3.59
0.3,1,5,2,4.19,4.27,2.7
0.31,3,1,3,4.37,4.36,2.67
0.31,3,3,2,4.38,4.37,2.7
1.59,4,5,5,7.49,7.53,4.59
1.51,4,5,2,7.19,7.24,4.58
0.33,2,4,5,4.45,4.47,2.73
0.4,2,3,6,4.75,4.78,2.94
0.4,2,2,2,4.82,4.85,2.89
0.55,4,5,3,5.15,5.19,3.26
0.71,1,5,4,5.65,5.69,3.59
0.71,4,3,5,5.69,5.72,3.59
0.31,1,4,7,4.28,4.32,2.74
1.2,3,6,2,6.95,6.89,4.05
0.79,3,2,5,5.84,5.8,3.66
1.02,3,0,2,6.53,6.47,3.94
0.32,4,4,2,4.42,4.36,2.77
1.51,1,3,2,7.2,7.26,4.58
0.9,2,3,3,6.11,6.17,3.85
0.91,1,2,2,5.99,6.03,3.97
0.41,2,1,4,4.77,4.74,2.95
0.3,2,2,4,4.3,4.33,2.68
0.23,4,1,6,3.94,3.99,2.41
0.96,2,3,2,6.27,6.24,3.94
0.31,2,4,5,4.34,4.36,2.7
0.33,3,3,1,4.54,4.49,2.68
0.33,3,1,2,4.43,4.47,2.72
0.8,4,2,2,5.84,5.87,3.74
1.09,2,2,2,6.56,6.61,4.08
1.2,3,6,5,6.9,6.94,4.17
0.32,3,0,5,4.43,4.38,2.72
0.32,3,3,5,4.38,4.32,2.72
1.33,3,3,3,7.16,7.19,4.33
1.01,2,4,5,6.45,6.47,3.98
1.01,3,4,1,6.47,6.41,4.0
1.51,3,3,5,7.38,7.33,4.56
1.0,0,1,3,6.07,6.01,4.02
0.41,2,2,7,4.76,4.79,2.94
1.0,3,3,5,6.49,6.46,3.99
0.71,1,1,2,5.67,5.72,3.6
0.4,1,2,2,4.67,4.7,2.98
0.31,3,2,1,4.33,4.37,2.68
0.32,2,1,1,4.41,4.38,2.75
0.34,3,0,3,4.54,4.58,2.7
2.47,3,5,3,8.65,8.6,5.39
0.7,4,5,4,5.72,5.74,3.52
1.0,1,4,2,6.61,6.49,3.72
0.91,4,3,2,6.15,6.04,3.87
1.02,4,4,5,6.35,6.4,3.98
0.38,4,6,2,4.59,4.62,2.91
0.32,3,3,5,4.42,4.45,2.71
1.58,2,5,4,7.43,7.46,4.64
0.38,4,0,2,4.75,4.79,2.81
0.34,2,0,3,4.5,4.55,2.78
0.27,2,1,6,4.16,4.14,2.56
0.81,4,6,2,5.88,5.91,3.72
0.8,2,3,5,5.94,5.87,3.67
1.51,1,4,3,7.53,7.39,4.47
0.39,4,6,6,4.64,4.71,2.89
0.29,2,4,7,4.27,4.29,2.64
1.21,3,4,3,6.91,6.86,4.21
0.41,3,5,6,4.81,4.75,2.94
0.56,2,0,5,5.35,5.33,3.28
0.59,3,4,7,5.42,5.33,3.35
0.62,3,2,2,5.56,5.51,3.31
0.32,4,3,4,4.33,4.37,2.73
0.43,2,4,2,4.86,4.83,3.02
1.53,4,5,2,7.32,7.26,4.6
0.41,4,1,5,4.71,4.74,2.99
0.9,3,1,5,6.18,6.13,3.83
1.3,2,2,3,6.96,7.0,4.34
1.51,4,4,6,7.3,7.39,4.52
1.0,2,2,2,6.41,6.38,4.03
0.44,1,0,2,4.97,5.0,2.93
0.32,4,3,7,4.4,4.42,2.71
1.0,4,4,5,6.38,6.4,3.92
0.7,1,1,2,5.56,5.59,3.53
0.41,3,1,2,4.87,4.85,2.86
0.36,2,0,5,4.63,4.59,2.81
0.47,4,2,2,4.98,4.94,3.14
0.62,2,3,1,5.45,5.48,3.38
1.01,4,5,3,6.32,6.36,4.04
1.22,2,6,5,6.92,6.96,4.23
1.22,3,1,2,6.8,6.78,4.25
1.04,1,2,3,6.35,6.42,4.03
0.4,2,2,6,4.75,4.72,2.92
0.3,1,4,2,4.28,4.26,2.72
0.51,4,3,5,5.06,5.12,3.2
1.51,2,6,4,7.34,7.4,4.52
0.41,2,3,3,4.81,4.78,2.97
0.3,2,3,2,4.29,4.31,2.68
1.5,3,4,5,7.32,7.25,4.46
0.43,3,3,5,4.84,4.88,2.97
0.5,4,0,2,5.09,5.11,3.14
1.1,2,2,7,6.71,6.64,4.08
1.02,4,1,2,6.33,6.42,4.03
0.75,2,5,2,5.82,5.86,3.59
0.27,2,0,7,4.15,4.13,2.59
0.41,2,0,6,4.77,4.74,2.98
1.01,2,1,3,6.43,6.39,3.98
0.51,2,3,2,5.13,5.1,3.22
1.22,2,6,3,6.86,6.9,4.21
1.02,3,3,5,6.45,6.4,4.03
0.53,2,3,7,5.24,5.29,3.18
0.31,2,4,5,4.35,4.31,2.71
0.57,2,3,4,5.36,5.39,3.26
0.35,3,5,4,4.53,4.5,2.79
1.96,3,4,3,7.96,7.9,4.79
0.52,2,2,5,5.19,5.23,3.18
0.53,2,2,7,5.21,5.24,3.2
0.43,3,4,4,4.81,4.75,2.98
1.03,2,2,3,6.43,6.38,4.0
0.35,2,3,1,4.59,4.54,2.79
0.38,2,2,7,4.64,4.61,2.9
1.0,4,5,4,6.39,6.34,4.03
0.25,4,1,5,4.05,4.08,2.49
0.72,4,5,2,5.84,5.87,3.5
1.14,3,2,5,6.71,6.64,4.14
0.91,0,3,5,6.04,6.08,3.93
0.7,1,1,3,5.64,5.6,3.58
1.22,3,5,4,7.02,6.96,4.15
0.41,2,3,7,4.75,4.8,2.97
0.35,2,4,6,4.55,4.57,2.81
1.27,4,5,2,6.86,6.8,4.3
0.43,2,0,2,4.8,4.83,3.01
1.0,0,3,2,6.24,6.16,4.07
0.23,4,1,7,3.95,3.97,2.44
0.4,2,2,3,4.7,4.72,2.92
0.7,2,6,6,5.69,5.71,3.51
0.57,3,2,2,5.34,5.31,3.29
1.22,2,4,3,6.93,6.88,4.2
0.41,2,1,4,4.75,4.78,2.96
2.01,1,3,3,7.95,8.0,5.07
1.05,2,5,2,6.5,6.47,4.03
0.7,2,5,2,5.63,5.71,3.55
1.5,3,4,3,7.28,7.24,4.51
0.3,2,4,6,4.3,4.39,2.66
2.09,3,2,3,8.19,8.15,5.01
1.21,4,6,4,6.87,6.9,4.19
0.39,0,1,2,4.5,4.56,2.97
1.21,3,1,2,6.82,6.79,4.26
0.9,1,2,5,6.08,6.1,3.8
0.41,4,3,5,4.71,4.75,2.96
1.0,4,0,5,6.35,6.39,3.9
1.21,4,4,2,6.83,6.79,4.25
1.7,2,0,3,7.78,7.71,4.7
0.33,3,1,2,4.41,4.43,2.75
0.54,2,2,5,5.28,5.31,3.18
0.35,1,1,5,4.64,4.67,2.69
0.75,4,1,4,5.83,5.86,3.62
0.94,1,0,2,6.25,6.2,3.96
1.21,3,0,4,6.83,6.74,4.25
0.73,3,1,2,5.92,5.85,3.51
1.12,2,2,7,6.66,6.69,4.1
0.37,4,4,2,4.58,4.54,2.88
0.75,2,1,2,5.84,5.91,3.6
0.9,3,4,5,6.19,6.24,3.81
0.52,2,4,5,5.18,5.22,3.2
1.51,4,6,4,7.31,7.24,4.45
0.33,3,5,5,4.46,4.43,2.71
0.32,2,5,5,4.43,4.45,2.73
0.34,3,0,2,4.48,4.42,2.76
1.95,4,4,2,7.86,7.94,4.97
1.02,2,4,2,6.48,6.41,3.98
1.21,4,5,3,6.7,6.66,4.22
0.41,4,1,6,4.72,4.75,2.98
0.32,2,5,2,4.41,4.45,2.74
0.81,2,3,7,5.97,6.04,3.71
1.01,3,2,3,6.49,6.46,3.81
1.58,4,3,5,7.59,7.69,4.55
0.41,4,2,3,4.75,4.77,2.98
1.04,4,0,2,6.66,6.69,3.93
0.7,3,5,4,5.69,5.63,3.49
0.31,1,1,2,4.33,4.36,2.74
1.11,3,4,5,6.63,6.59,4.14
0.25,2,1,5,4.08,4.11,2.48
0.36,2,4,2,4.57,4.59,2.83
1.1,2,3,4,6.65,6.62,4.08
0.32,2,4,5,4.4,4.38,2.72
0.4,2,1,5,4.77,4.75,2.91
1.0,3,3,4,6.38,6.33,3.94
0.41,3,3,5,4.8,4.85,2.93
1.02,2,2,5,6.44,6.37,3.98
0.81,3,4,4,5.98,5.95,3.68
0.9,0,5,6,5.98,6.09,3.83
0.6,4,3,5,5.35,5.39,3.38
2.03,3,5,5,8.22,8.17,4.96
1.06,2,3,4,6.53,6.56,4.01
0.99,2,2,2,6.33,6.4,3.95
0.3,2,0,4,4.34,4.3,2.67
0.71,2,3,2,5.72,5.77,3.57
0.26,4,2,5,4.06,4.08,2.54
0.34,2,6,6,4.48,4.51,2.79
0.53,2,3,2,5.22,5.27,3.18
1.57,2,2,2,7.55,7.53,4.61
1.03,3,1,5,6.42,6.36,4.02
0.23,4,1,7,3.94,3.98,2.42
0.26,2,4,4,4.07,4.09,2.55
0.41,2,2,5,4.78,4.73,2.94
0.71,2,0,5,5.71,5.75,3.56
0.56,2,0,4,5.3,5.33,3.28
0.52,4,4,4,5.15,5.18,3.21
0.4,3,2,4,4.75,4.71,2.89
0.3,2,1,5,4.34,4.3,2.68
0.33,2,2,5,4.47,4.42,2.77
0.66,2,4,4,5.6,5.57,3.5
0.71,2,3,2,5.73,5.76,3.55
0.45,1,0,5,4.81,4.73,3.04
1.51,2,2,2,7.29,7.25,4.58
0.32,3,3,4,4.39,4.37,2.72
0.28,2,3,1,4.25,4.27,2.6
0.96,3,4,2,6.27,6.24,3.92
1.53,3,3,2,7.31,7.4,4.54
1.1,2,4,3,6.65,6.57,4.14
0.57,2,2,4,5.33,5.35,3.3
0.53,2,2,5,5.2,5.23,3.23
2.2,3,6,4,8.34,8.3,5.13
0.38,2,1,2,4.64,4.67,2.89
0.3,3,1,3,4.31,4.28,2.65
2.03,4,3,2,8.09,8.18,4.89
0.3,2,2,2,4.34,4.36,2.67
0.7,2,4,2,5.66,5.69,3.51
0.51,2,1,6,5.11,5.17,3.18
0.41,2,1,5,4.8,4.75,2.97
1.01,2,3,5,6.4,6.45,3.99
1.02,3,4,5,6.54,6.46,3.91
0.54,2,2,5,5.25,5.2,3.28
2.02,3,3,3,8.05,7.95,5.03
0.34,2,0,4,4.49,4.54,2.77
0.38,3,0,2,4.57,4.63,2.86
0.91,4,0,3,6.26,6.31,3.82
1.0,2,5,2,6.33,6.38,3.99
0.37,2,1,5,4.56,4.61,2.87
1.0,0,1,3,6.33,6.27,4.07
0.3,2,1,6,4.37,4.33,2.67
1.02,4,0,5,6.29,6.33,4.03
0.74,2,3,6,5.8,5.84,3.6
0.9,0,0,3,6.04,6.01,3.89
0.35,2,4,1,4.55,4.59,2.84
0.43,2,2,7,4.83,4.85,2.99
0.33,2,0,7,4.44,4.46,2.72
0.31,2,1,7,4.42,4.45,2.7
0.3,3,1,2,4.24,4.28,2.61
0.72,1,6,4,5.68,5.71,3.63
0.3,4,2,2,4.26,4.21,2.69
0.42,3,3,2,4.82,4.79,2.96
0.54,2,5,5,5.2,5.26,3.24
0.33,2,1,3,4.44,4.47,2.75
0.5,1,0,5,5.05,5.1,3.22
0.31,2,1,1,4.37,4.4,2.69
0.36,4,1,5,4.52,4.54,2.85
1.58,2,5,3,7.42,7.34,4.6
0.31,2,2,1,4.43,4.45,2.7
0.72,2,5,4,5.76,5.83,3.56
0.94,3,1,3,6.37,6.34,3.84
0.71,3,6,7,5.79,5.82,3.5
1.53,3,4,2,7.34,7.31,4.57
0.4,2,3,7,4.72,4.78,2.9
0.3,2,2,4,4.32,4.34,2.67
1.09,2,6,5,6.64,6.61,4.11
0.3,2,2,1,4.37,4.39,2.63
1.05,4,5,5,6.47,6.42,4.07
0.93,1,5,5,6.41,6.48,3.75
2.01,1,3,2,7.98,8.03,5.05
0.78,2,1,3,5.98,5.92,3.62
1.66,4,5,2,7.45,7.5,4.71
1.51,1,2,2,7.09,7.2,4.59
0.35,2,0,2,4.54,4.55,2.8
0.61,4,0,4,5.49,5.51,3.35
1.2,2,4,2,6.86,6.82,4.22
0.42,3,0,2,4.79,4.83,2.94
2.44,3,5,3,8.74,8.7,5.35
1.21,2,3,5,6.83,6.79,4.21
0.95,4,3,4,6.37,6.41,3.83
0.26,4,1,7,4.1,4.13,2.52
0.32,2,2,5,4.37,4.4,2.69
0.31,2,2,6,4.37,4.4,2.69
0.32,2,4,6,4.38,4.37,2.71
0.71,1,0,5,5.64,5.68,3.58
0.51,1,2,2,5.06,5.01,3.22
1.75,2,4,0,7.73,7.75,4.77
1.22,3,3,3,6.96,6.92,4.2
1.2,3,4,5,6.88,6.82,4.16
0.7,1,5,0,5.62,5.57,3.58
1.55,3,5,3,7.64,7.58,4.45
1.0,4,2,7,6.49,6.51,3.97
0.3,4,5,2,4.28,4.32,2.71
1.2,3,4,3,6.76,6.81,4.24
0.32,1,1,2,4.34,4.38,2.77
0.32,2,1,7,4.43,4.45,2.7
0.41,2,2,5,4.79,4.76,2.95
1.08,2,0,3,6.58,6.62,4.07
1.06,4,6,3,6.45,6.53,4.04
1.1,3,3,5,6.71,6.75,4.05
1.21,4,3,3,6.7,6.77,4.23
2.02,4,4,3,8.23,8.2,4.82
0.62,2,4,4,5.5,5.53,3.41
0.9,4,1,5,6.13,6.18,3.83
1.8,1,2,3,8.08,8.13,4.69
0.55,3,4,3,5.23,5.2,3.25
1.0,4,1,3,6.3,6.35,3.98
1.3,4,5,4,6.92,6.95,4.34
0.33,2,3,1,4.39,4.44,2.77
0.3,3,0,2,4.23,4.27,2.66
1.01,1,4,2,6.53,6.5,3.93
0.3,4,0,5,4.22,4.27,2.63
0.31,4,4,4,4.33,4.36,2.67
0.57,2,1,5,5.39,5.43,3.3
0.37,2,1,2,4.6,4.55,2.87
0.53,2,1,5,5.26,5.23,3.2
1.01,3,1,1,6.44,6.37,4.01
0.3,4,4,6,4.26,4.29,2.66
1.04,3,3,1,6.65,6.52,4.0
1.06,2,3,3,6.56,6.61,4.02
0.71,4,1,2,5.69,5.73,3.5
1.02,4,0,3,6.47,6.53,3.96
0.78,3,2,2,5.86,5.85,3.65
0.7,4,3,5,5.66,5.7,3.48
0.87,2,3,5,6.15,6.17,3.78
1.32,3,4,3,7.21,7.09,4.25
0.3,4,1,7,4.25,4.27,2.68
1.06,2,3,6,6.55,6.53,4.03
1.51,3,3,5,7.42,7.38,4.45
0.33,4,2,5,4.39,4.43,2.75
0.44,2,4,2,4.87,4.93,3.02
0.9,4,5,5,6.17,6.22,3.71
0.31,4,3,4,4.36,4.4,2.71
1.2,2,6,5,6.88,6.82,4.22
0.92,4,1,3,6.18,6.22,3.85
2.08,2,4,2,8.24,8.27,5.06
0.3,2,1,7,4.28,4.32,2.68
1.01,3,0,5,6.38,6.32,3.91
0.32,2,5,5,4.4,4.41,2.71
0.71,4,2,6,5.71,5.77,3.55
1.02,1,0,3,6.37,6.41,4.05
0.28,3,1,7,4.34,4.31,2.54
1.0,0,5,3,6.22,6.12,4.13
0.51,2,5,2,5.12,5.08,3.17
0.37,2,1,2,4.65,4.6,2.84
1.52,3,6,5,7.28,7.31,4.52
0.5,2,3,7,5.13,5.15,3.11
0.72,2,4,2,5.77,5.81,3.57
0.32,3,3,4,4.42,4.39,2.7
0.56,3,2,3,5.36,5.33,3.22
0.29,4,3,6,4.27,4.29,2.65
0.51,3,3,7,5.11,5.14,3.16
0.74,3,4,5,5.83,5.79,3.61
1.5,3,2,4,7.33,7.28,4.55
0.33,4,3,2,4.42,4.45,2.71
0.74,0,1,0,6.03,5.89,3.47
1.09,4,5,3,6.5,6.55,4.16
0.42,2,1,5,4.8,4.82,2.97
0.4,2,5,6,4.72,4.74,2.95
0.54,2,4,4,5.25,5.27,3.21
1.0,1,0,3,6.24,6.29,4.01
1.51,3,2,5,7.46,7.32,4.57
1.0,1,0,3,6.35,6.38,4.03
0.39,2,1,4,4.68,4.71,2.91
0.66,3,2,2,5.69,5.63,3.43
1.71,4,1,2,7.58,7.5,4.78
0.3,1,4,2,4.27,4.31,2.72
0.44,3,3,2,4.83,4.87,3.0
0.3,1,6,4,4.24,4.27,2.7
1.08,2,3,4,6.59,6.63,4.06
0.79,2,5,2,5.94,6.0,3.68
0.42,3,0,4,4.85,4.79,2.93
0.31,4,3,4,4.33,4.29,2.73
0.55,4,0,3,5.26,5.32,3.16
2.27,3,6,4,8.36,8.41,5.23
1.0,4,1,5,6.25,6.32,4.01
0.31,4,4,6,4.32,4.3,2.73
0.3,2,0,6,4.3,4.35,2.69
0.53,2,2,6,5.18,5.24,3.21
0.42,2,3,7,4.83,4.86,3.02
1.62,2,4,5,7.53,7.48,4.62
0.3,4,1,6,4.37,4.39,2.65
0.56,3,6,2,5.34,5.3,3.21
1.18,2,5,4,6.73,6.79,4.24
0.53,2,2,5,5.17,5.2,3.23
1.03,2,2,4,6.49,6.54,4.02
0.38,3,0,3,4.68,4.62,2.84
1.12,3,1,0,6.7,6.74,4.1
0.51,0,1,2,5.07,5.02,3.27
1.07,3,3,4,6.76,6.65,3.93
2.03,3,3,5,8.17,8.14,4.97
1.01,1,3,3,6.24,6.31,4.05
0.33,2,1,2,4.43,4.41,2.76
0.55,2,1,5,5.3,5.34,3.18
0.4,4,1,5,4.81,4.84,2.85
0.51,0,3,2,5.06,5.01,3.25
0.78,2,4,2,5.92,5.99,3.64
0.54,2,5,5,5.27,5.31,3.23
0.32,4,5,6,4.4,4.45,2.66
0.36,4,1,5,4.51,4.55,2.82
1.52,3,4,3,7.55,7.32,4.5
0.3,2,3,1,4.32,4.28,2.69
1.22,1,3,3,6.75,6.68,4.3
0.85,2,4,3,6.1,6.07,3.76
1.1,4,6,4,6.65,6.74,4.08
